"Handheld gaming device e.g. Nintendo DS, PSP/ VITA with internet access",5%,5%,10%,8%,6%,1%,1%,0%,5%,5%,5%,0%,6%,3%,6%,6%,6%,,,,,,,,,,
"Handheld gaming device e.g. Nintendo DS, PSP/ VITA without internet access",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
None of these,1%,1%,1%,0%,0%,0%,1%,2%,1%,0%,1%,0%,0%,1%,0%,0%,0%,,,,,,,,,,
Average number of mentions,2.35,2.38,2.85,2.81,2.42,2.03,1.98,1.65,2.44,2.27,2.35,0,2.47,2.12,2.47,2.48,2.39,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,
dIntDevice. dummy for Inter Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1059,985,200,201,215,167,126,151,519,540,1059,0,697,363,667,591,106,,,,,,,,,,
Unweighted Base,985,985,165,203,199,157,132,129,486,499,985,0,655,330,630,553,102,,,,,,,,,,
Smartphone,54%,54%,79%,75%,59%,39%,33%,17%,53%,54%,54%,0%,55%,50%,56%,55%,57%,,,,,,,,,,
Laptop,73%,74%,81%,83%,75%,70%,69%,51%,71%,75%,73%,0%,73%,72%,74%,73%,73%,,,,,,,,,,
Tablet,19%,20%,22%,22%,23%,16%,17%,15%,20%,19%,19%,0%,21%,16%,22%,21%,21%,,,,,,,,,,
PDA,1%,1%,1%,3%,0%,2%,1%,0%,1%,1%,1%,0%,2%,0%,2%,2%,0%,,,,,,,,,,
Desktop computer,59%,59%,51%,46%,56%,63%,68%,80%,65%,54%,59%,0%,62%,53%,61%,64%,54%,,,,,,,,,,
Games console with internet,13%,14%,27%,20%,15%,6%,4%,0%,18%,9%,13%,0%,15%,10%,15%,14%,19%,,,,,,,,,,
Handheld games console with internet,5%,5%,10%,8%,6%,1%,1%,0%,5%,5%,5%,0%,6%,3%,6%,6%,6%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-1. When with friends - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,169,163,59,48,34,19,8,2,91,78,169,0,114,55,110,99,15,,,,,,,,,,
Unweighted Base,163,163,53,52,32,16,8,2,89,74,163,0,109,54,106,92,17,,,,,,,,,,
Smartphone,70%,69%,73%,68%,80%,43%,67%,100%,65%,75%,70%,0%,72%,65%,72%,72%,70%,,,,,,,,,,
Laptop,39%,38%,36%,52%,21%,51%,33%,58%,42%,36%,39%,0%,37%,44%,37%,37%,37%,,,,,,,,,,
Desktop computer,16%,15%,12%,8%,20%,36%,12%,58%,21%,10%,16%,0%,15%,17%,16%,16%,8%,,,,,,,,,,
Games console with internet,14%,14%,18%,8%,12%,22%,9%,0%,20%,8%,14%,0%,19%,4%,20%,18%,28%,,,,,,,,,,
Tablet,9%,9%,11%,1%,14%,8%,21%,0%,8%,10%,9%,0%,11%,4%,11%,12%,6%,,,,,,,,,,
Handheld games console with internet,2%,3%,0%,5%,0%,4%,9%,0%,2%,3%,2%,0%,4%,0%,4%,4%,0%,,,,,,,,,,
PDA,1%,1%,0%,1%,0%,7%,0%,0%,2%,0%,1%,0%,2%,0%,2%,2%,0%,,,,,,,,,,
Mean score,1.51,1.5,1.5,1.44,1.47,1.71,1.52,2.15,1.59,1.41,1.51,0,1.59,1.34,1.61,1.6,1.5,,,,,,,,,,
Standard deviation,0.89,0.91,0.77,0.9,0.84,1.24,1.1,1.6,0.99,0.76,0.89,0,0.97,0.69,0.98,0.99,0.83,,,,,,,,,,
Standard error,0.07,0.07,0.11,0.12,0.15,0.31,0.39,1.13,0.11,0.09,0.07,0,0.09,0.09,0.1,0.1,0.2,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-2. When I'm home alone - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,654,618,116,114,125,118,77,104,323,331,654,0,443,211,423,381,62,,,,,,,,,,
Unweighted Base,618,618,104,116,121,110,79,88,306,312,618,0,422,196,406,361,61,,,,,,,,,,
Laptop,64%,64%,81%,79%,60%,62%,52%,47%,62%,66%,64%,0%,63%,66%,63%,64%,58%,,,,,,,,,,
Desktop computer,50%,49%,36%,29%,48%,56%,63%,72%,58%,41%,50%,0%,51%,47%,50%,51%,48%,,,,,,,,,,
Smartphone,22%,22%,41%,35%,24%,12%,7%,4%,22%,21%,22%,0%,24%,17%,24%,23%,26%,,,,,,,,,,
Tablet,11%,11%,11%,8%,18%,5%,14%,8%,10%,12%,11%,0%,11%,9%,12%,11%,12%,,,,,,,,,,
Games console with internet,8%,8%,18%,11%,8%,4%,3%,0%,13%,3%,8%,0%,9%,7%,9%,8%,15%,,,,,,,,,,
Handheld games console with internet,2%,2%,4%,2%,1%,1%,1%,0%,2%,1%,2%,0%,1%,2%,1%,2%,0%,,,,,,,,,,
PDA,1%,1%,0%,2%,0%,2%,0%,0%,1%,0%,1%,0%,1%,0%,1%,1%,0%,,,,,,,,,,
Mean score,1.56,1.57,1.92,1.64,1.59,1.42,1.4,1.31,1.68,1.44,1.56,0,1.6,1.48,1.6,1.6,1.59,,,,,,,,,,
Standard deviation,0.89,0.9,1.12,1.03,0.91,0.7,0.69,0.59,0.99,0.78,0.89,0,0.91,0.87,0.9,0.91,0.88,,,,,,,,,,
Standard error,0.04,0.04,0.11,0.1,0.08,0.07,0.08,0.06,0.06,0.04,0.04,0,0.04,0.06,0.04,0.05,0.11,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-3. When I'm at work/ school - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,283,263,84,65,51,41,26,16,129,155,283,0,204,79,198,176,29,,,,,,,,,,
Unweighted Base,263,263,74,61,49,40,27,12,123,140,263,0,189,74,184,162,27,,,,,,,,,,
Smartphone,41%,42%,52%,49%,40%,27%,18%,24%,43%,38%,41%,0%,40%,43%,40%,39%,42%,,,,,,,,,,
Desktop computer,40%,40%,30%,29%,40%,62%,54%,50%,39%,40%,40%,0%,44%,29%,43%,45%,34%,,,,,,,,,,
Laptop,34%,35%,33%,32%,36%,31%,39%,39%,39%,30%,34%,0%,30%,44%,30%,30%,27%,,,,,,,,,,
Tablet,7%,8%,11%,4%,6%,2%,9%,20%,8%,7%,7%,0%,9%,3%,9%,8%,14%,,,,,,,,,,
Handheld games console with internet,2%,2%,3%,3%,2%,4%,0%,0%,3%,2%,2%,0%,3%,2%,3%,3%,0%,,,,,,,,,,
Games console with internet,2%,2%,5%,1%,0%,0%,0%,0%,2%,2%,2%,0%,2%,0%,2%,2%,6%,,,,,,,,,,
PDA,1%,1%,0%,1%,0%,0%,3%,0%,1%,1%,1%,0%,1%,0%,1%,1%,0%,,,,,,,,,,
Mean score,1.26,1.29,1.33,1.19,1.23,1.26,1.22,1.31,1.35,1.19,1.26,0,1.28,1.21,1.28,1.29,1.23,,,,,,,,,,
Standard deviation,0.62,0.68,0.69,0.71,0.49,0.55,0.59,0.57,0.72,0.52,0.62,0,0.65,0.54,0.66,0.67,0.53,,,,,,,,,,
Standard error,0.04,0.04,0.08,0.09,0.07,0.09,0.11,0.16,0.07,0.04,0.04,0,0.05,0.06,0.05,0.05,0.1,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-4. A break at work/ school (e.g. lunchtime) - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,276,262,73,67,72,36,19,9,130,145,276,0,197,79,192,168,29,,,,,,,,,,
Unweighted Base,262,262,63,65,69,37,20,8,125,137,262,0,189,73,185,158,31,,,,,,,,,,
Smartphone,56%,56%,63%,67%,57%,40%,31%,30%,56%,56%,56%,0%,57%,54%,57%,57%,57%,,,,,,,,,,
Desktop computer,28%,28%,22%,26%,28%,46%,32%,14%,31%,26%,28%,0%,28%,29%,27%,28%,26%,,,,,,,,,,
Laptop,24%,26%,22%,19%,24%,28%,36%,56%,29%,20%,24%,0%,26%,20%,27%,26%,26%,,,,,,,,,,
Tablet,8%,8%,7%,8%,8%,0%,19%,23%,9%,7%,8%,0%,9%,5%,9%,9%,11%,,,,,,,,,,
Games console with internet,2%,3%,3%,2%,4%,0%,0%,0%,3%,1%,2%,0%,3%,1%,3%,3%,2%,,,,,,,,,,
Handheld games console with internet,1%,1%,0%,1%,1%,0%,0%,0%,1%,1%,1%,0%,0%,1%,0%,0%,0%,,,,,,,,,,
PDA,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Mean score,1.2,1.21,1.16,1.24,1.22,1.15,1.18,1.23,1.29,1.11,1.2,0,1.23,1.11,1.24,1.24,1.21,,,,,,,,,,
Standard deviation,0.52,0.58,0.37,0.73,0.53,0.36,0.48,0.44,0.64,0.38,0.52,0,0.58,0.34,0.58,0.6,0.42,,,,,,,,,,
Standard error,0.03,0.04,0.05,0.09,0.06,0.06,0.11,0.16,0.06,0.03,0.03,0,0.04,0.04,0.04,0.05,0.07,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-5. When I've got a couple of hours to spare - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,621,583,112,101,125,107,87,90,287,334,621,0,419,202,398,359,61,,,,,,,,,,
Unweighted Base,583,583,95,104,116,99,92,77,272,311,583,0,397,186,379,338,59,,,,,,,,,,
Laptop,64%,65%,71%,67%,70%,64%,60%,45%,61%,66%,64%,0%,65%,62%,64%,65%,62%,,,,,,,,,,
Desktop computer,44%,44%,32%,25%,43%,49%,53%,63%,52%,36%,44%,0%,43%,45%,43%,43%,41%,,,,,,,,,,
Smartphone,21%,21%,36%,43%,20%,11%,6%,3%,22%,19%,21%,0%,21%,19%,22%,21%,23%,,,,,,,,,,
Tablet,11%,11%,14%,11%,11%,6%,12%,12%,11%,11%,11%,0%,12%,9%,12%,11%,16%,,,,,,,,,,
Games console with internet,8%,8%,21%,8%,10%,3%,2%,0%,11%,5%,8%,0%,8%,6%,9%,8%,13%,,,,,,,,,,
Handheld games console with internet,2%,2%,6%,4%,0%,0%,2%,0%,2%,2%,2%,0%,2%,3%,2%,2%,0%,,,,,,,,,,
PDA,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Mean score,1.49,1.51,1.8,1.59,1.54,1.33,1.34,1.24,1.6,1.39,1.49,0,1.51,1.44,1.52,1.5,1.55,,,,,,,,,,
Standard deviation,0.83,0.85,1.07,0.92,0.86,0.7,0.59,0.5,0.92,0.73,0.83,0,0.84,0.81,0.83,0.83,0.9,,,,,,,,,,
Standard error,0.03,0.04,0.11,0.09,0.08,0.07,0.06,0.06,0.06,0.04,0.03,0,0.04,0.06,0.04,0.05,0.12,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-6. Just before I go to bed - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,320,305,90,74,57,42,27,29,146,174,320,0,210,110,202,173,36,,,,,,,,,,
Unweighted Base,305,305,81,76,55,38,28,27,139,166,305,0,203,102,197,168,35,,,,,,,,,,
Laptop,49%,49%,48%,52%,46%,42%,58%,46%,47%,50%,49%,0%,48%,50%,47%,47%,52%,,,,,,,,,,
Smartphone,38%,37%,61%,46%,34%,19%,14%,0%,32%,42%,38%,0%,39%,36%,39%,37%,44%,,,,,,,,,,
Desktop computer,27%,28%,12%,21%,30%,48%,29%,52%,38%,18%,27%,0%,28%,26%,28%,28%,25%,,,,,,,,,,
Tablet,11%,11%,6%,10%,21%,7%,16%,5%,10%,11%,11%,0%,9%,14%,9%,9%,7%,,,,,,,,,,
Games console with internet,4%,4%,10%,4%,1%,2%,0%,0%,8%,1%,4%,0%,5%,2%,5%,4%,8%,,,,,,,,,,
Handheld games console with internet,2%,2%,2%,5%,0%,0%,0%,0%,2%,2%,2%,0%,2%,2%,2%,2%,0%,,,,,,,,,,
PDA,1%,1%,2%,2%,0%,0%,0%,0%,2%,1%,1%,0%,2%,0%,2%,2%,0%,,,,,,,,,,
Mean score,1.3,1.31,1.4,1.4,1.33,1.17,1.17,1.03,1.38,1.24,1.3,0,1.31,1.29,1.31,1.3,1.35,,,,,,,,,,
Standard deviation,0.64,0.67,0.62,0.88,0.57,0.47,0.45,0.18,0.7,0.57,0.64,0,0.67,0.58,0.67,0.68,0.62,,,,,,,,,,
Standard error,0.04,0.04,0.07,0.1,0.08,0.08,0.08,0.03,0.06,0.04,0.04,0,0.05,0.06,0.05,0.05,0.1,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-7. When I'm out and about - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,213,197,70,59,39,24,12,9,92,121,213,0,144,69,140,133,11,,,,,,,,,,
Unweighted Base,197,197,59,59,37,23,12,7,90,107,197,0,134,63,131,120,14,,,,,,,,,,
Smartphone,83%,83%,88%,83%,92%,74%,53%,57%,80%,85%,83%,0%,85%,79%,85%,85%,79%,,,,,,,,,,
Laptop,15%,15%,8%,19%,6%,22%,22%,43%,18%,12%,15%,0%,12%,19%,12%,12%,22%,,,,,,,,,,
Tablet,8%,9%,8%,4%,4%,9%,31%,15%,10%,6%,8%,0%,8%,9%,8%,8%,8%,,,,,,,,,,
Handheld games console with internet,3%,3%,3%,1%,6%,6%,0%,0%,4%,2%,3%,0%,4%,0%,4%,4%,13%,,,,,,,,,,
Games console with internet,2%,3%,4%,1%,0%,3%,6%,0%,3%,2%,2%,0%,3%,0%,3%,4%,0%,,,,,,,,,,
Desktop computer,2%,2%,0%,3%,2%,6%,0%,0%,2%,2%,2%,0%,2%,1%,2%,2%,0%,,,,,,,,,,
PDA,1%,1%,0%,1%,0%,0%,6%,0%,1%,1%,1%,0%,1%,0%,1%,1%,0%,,,,,,,,,,
Mean score,1.12,1.15,1.1,1.12,1.1,1.21,1.18,1.14,1.17,1.09,1.12,0,1.15,1.07,1.15,1.14,1.21,,,,,,,,,,
Standard deviation,0.49,0.57,0.31,0.68,0.36,0.48,0.74,0.37,0.62,0.36,0.49,0,0.56,0.26,0.57,0.58,0.43,,,,,,,,,,
Standard error,0.03,0.04,0.04,0.09,0.06,0.1,0.21,0.14,0.06,0.04,0.03,0,0.05,0.03,0.05,0.05,0.12,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-8. Weekends - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,637,594,108,112,127,117,88,86,305,332,637,0,433,204,413,371,63,,,,,,,,,,
Unweighted Base,594,594,93,113,118,108,91,71,287,307,594,0,408,186,391,347,61,,,,,,,,,,
Laptop,66%,66%,76%,71%,66%,64%,62%,50%,62%,69%,66%,0%,66%,64%,67%,66%,68%,,,,,,,,,,
Desktop computer,47%,47%,30%,26%,46%,54%,61%,73%,57%,38%,47%,0%,48%,44%,48%,48%,50%,,,,,,,,,,
Smartphone,35%,35%,59%,50%,43%,24%,17%,6%,35%,35%,35%,0%,36%,33%,36%,36%,36%,,,,,,,,,,
Tablet,15%,15%,16%,10%,21%,9%,16%,15%,14%,15%,15%,0%,16%,13%,16%,16%,14%,,,,,,,,,,
Games console with internet,10%,10%,23%,14%,14%,5%,1%,0%,15%,6%,10%,0%,12%,7%,12%,12%,15%,,,,,,,,,,
Handheld games console with internet,2%,3%,5%,2%,3%,2%,2%,0%,3%,1%,2%,0%,3%,2%,3%,3%,2%,,,,,,,,,,
PDA,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Mean score,1.75,1.76,2.09,1.73,1.93,1.59,1.59,1.45,1.87,1.64,1.75,0,1.81,1.62,1.82,1.8,1.85,,,,,,,,,,
Standard deviation,0.96,0.97,1.06,0.94,1.08,0.88,0.78,0.7,1.03,0.86,0.96,0,0.98,0.89,0.98,0.97,1.05,,,,,,,,,,
Standard error,0.04,0.04,0.11,0.09,0.1,0.08,0.08,0.08,0.06,0.05,0.04,0,0.05,0.06,0.05,0.05,0.13,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-9. When I'm on the bus/ train/ plane - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,197,182,77,61,29,12,11,7,87,110,197,0,124,73,122,110,14,,,,,,,,,,
Unweighted Base,182,182,66,60,27,12,11,6,85,97,182,0,119,63,117,102,17,,,,,,,,,,
Smartphone,84%,85%,91%,77%,92%,88%,64%,73%,81%,87%,84%,0%,87%,80%,88%,89%,74%,,,,,,,,,,
Laptop,15%,17%,10%,23%,7%,29%,18%,13%,19%,13%,15%,0%,14%,18%,13%,12%,24%,,,,,,,,,,
Tablet,7%,8%,6%,7%,0%,12%,18%,32%,7%,7%,7%,0%,6%,9%,7%,7%,0%,,,,,,,,,,
Desktop computer,2%,2%,2%,3%,6%,0%,0%,0%,4%,1%,2%,0%,2%,3%,2%,2%,0%,,,,,,,,,,
Handheld games console with internet,2%,2%,0%,3%,5%,0%,0%,0%,4%,0%,2%,0%,3%,0%,3%,2%,10%,,,,,,,,,,
Games console with internet,1%,2%,0%,1%,4%,6%,0%,0%,2%,1%,1%,0%,2%,0%,2%,2%,0%,,,,,,,,,,
PDA,0%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,1%,0%,,,,,,,,,,
Mean score,1.13,1.15,1.09,1.15,1.13,1.35,1,1.18,1.17,1.09,1.13,0,1.14,1.1,1.14,1.15,1.08,,,,,,,,,,
Standard deviation,0.49,0.57,0.33,0.68,0.44,0.61,0,0.42,0.63,0.35,0.49,0,0.56,0.35,0.57,0.59,0.27,,,,,,,,,,
Standard error,0.04,0.04,0.04,0.09,0.08,0.18,0,0.17,0.07,0.04,0.04,0,0.05,0.04,0.05,0.06,0.07,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-10. When I'm doing other things - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,224,213,67,66,44,28,11,7,103,121,224,0,147,77,142,123,24,,,,,,,,,,
Unweighted Base,213,213,58,67,42,25,14,7,99,114,213,0,144,69,140,120,24,,,,,,,,,,
Smartphone,52%,51%,68%,54%,52%,23%,40%,13%,52%,52%,52%,0%,57%,43%,57%,56%,59%,,,,,,,,,,
Laptop,51%,54%,44%,50%,50%,70%,59%,32%,40%,60%,51%,0%,50%,52%,50%,50%,51%,,,,,,,,,,
Desktop computer,20%,18%,19%,13%,21%,22%,13%,81%,28%,13%,20%,0%,16%,27%,15%,16%,16%,,,,,,,,,,
Tablet,12%,12%,5%,13%,24%,4%,19%,0%,11%,12%,12%,0%,12%,11%,13%,12%,12%,,,,,,,,,,
Games console with internet,5%,5%,6%,6%,2%,3%,7%,0%,6%,3%,5%,0%,7%,1%,7%,6%,12%,,,,,,,,,,
Handheld games console with internet,1%,1%,1%,1%,0%,0%,7%,0%,1%,1%,1%,0%,1%,1%,1%,1%,0%,,,,,,,,,,
PDA,1%,1%,1%,1%,0%,0%,0%,0%,1%,1%,1%,0%,1%,1%,1%,1%,0%,,,,,,,,,,
Mean score,1.4,1.42,1.44,1.38,1.5,1.21,1.45,1.25,1.39,1.41,1.4,0,1.43,1.35,1.43,1.42,1.49,,,,,,,,,,
Standard deviation,0.71,0.78,0.64,0.8,0.78,0.58,0.65,0.71,0.75,0.68,0.71,0,0.76,0.61,0.76,0.75,0.81,,,,,,,,,,
Standard error,0.05,0.05,0.08,0.1,0.12,0.12,0.17,0.27,0.08,0.06,0.05,0,0.06,0.07,0.06,0.07,0.16,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3-11. When I'm waiting for people/ things to happen - Internet access by device and time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
